fat,calories,protein,rating,sodium,len_directions,len_ingredients,cluster
6.0,342.0,5.0,5.0,437.0,2,12,0
1.0,27.0,1.0,3.75,50.0,2,6,14
1.0,21.0,2.0,3.75,109.0,2,10,0
17.0,318.0,28.0,4.375,373.0,4,10,12
51.0,628.0,31.0,4.375,526.0,4,8,12
11.0,122.0,4.0,4.375,38.0,2,4,0
8.0,278.0,4.0,3.125,191.0,4,13,0
29.0,335.0,13.0,4.375,111.0,4,10,12
6.0,229.0,6.0,5.0,421.0,2,8,0
41.0,680.0,29.0,3.75,541.0,4,12,12
15.0,253.0,21.0,4.375,205.0,4,12,12
17.0,946.0,30.0,4.375,1285.0,4,14,5
34.0,668.0,55.0,4.375,1586.0,1,14,5
32.0,396.0,12.0,4.375,398.0,4,12,12
34.0,454.0,23.0,5.0,393.0,2,13,12
30.0,538.0,28.0,3.75,384.0,3,8,12
77.0,755.0,15.0,4.375,1347.0,1,7,5
0.0,2.0,0.0,3.75,27.0,4,10,14
42.0,851.0,41.0,4.375,504.0,6,13,5
11.0,126.0,2.0,5.0,208.0,3,10,0
23.0,438.0,32.0,3.75,158.0,1,9,12
1.0,28.0,4.0,4.375,72.0,5,9,0
540.0,7141.0,470.0,4.375,6152.0,4,16,9
21.0,341.0,3.0,3.125,201.0,2,13,0
28.0,469.0,26.0,3.125,1085.0,3,12,12
9.0,88.0,0.0,3.75,0.0,4,6,0
19.0,414.0,12.0,4.375,18.0,5,8,0
14.0,228.0,3.0,5.0,67.0,2,7,0
13.0,319.0,5.0,4.375,105.0,1,12,0
11.0,146.0,8.0,3.75,173.0,2,7,0
8.0,730.0,4.0,3.125,29.0,4,8,5
8.0,273.0,6.0,5.0,226.0,7,17,0
2.0,285.0,3.0,4.375,32.0,4,9,14
12.0,327.0,37.0,3.75,1368.0,4,14,12
1.0,262.0,2.0,4.375,438.0,3,14,0
2.0,27.0,2.0,5.0,49.0,4,15,14
41.0,394.0,2.0,1.25,58.0,1,5,11
94.0,1488.0,130.0,4.375,771.0,7,15,5
26.0,462.0,6.0,4.375,230.0,5,12,0
87.0,1004.0,47.0,0.0,916.0,5,6,4
0.0,200.0,0.0,4.375,4.0,3,12,14
3.0,134.0,2.0,4.375,160.0,1,8,0
0.0,226.0,1.0,4.375,12.0,1,6,14
15.0,198.0,4.0,4.375,479.0,3,12,0
23.0,209.0,0.0,0.0,195.0,2,5,11
33.0,515.0,8.0,4.375,240.0,6,23,0
45.0,767.0,65.0,4.375,647.0,3,8,12
68.0,614.0,0.0,3.75,124.0,2,9,12
18.0,169.0,0.0,5.0,149.0,1,6,0
61.0,1234.0,62.0,4.375,1073.0,2,15,5
41.0,717.0,81.0,4.375,2303.0,5,14,5
21.0,282.0,7.0,4.375,281.0,2,6,0
20.0,354.0,16.0,5.0,575.0,3,9,12
21.0,484.0,8.0,4.375,622.0,2,8,0
11.0,113.0,1.0,5.0,27.0,1,3,0
16.0,667.0,54.0,3.75,654.0,1,7,5
13.0,205.0,3.0,5.0,84.0,3,10,0
